1 37.4403661599
1 39.4501358463
2 44.2733829168
3 48.189575123
4 51.7119490737
5 53.769503812
6 57.5886497257
7 61.5450823902
8 65.8361565054
9 69.4302136132
10 73.589089848
11 77.4501893014
12 82.2411495246
13 86.5289484806
14 91.169930454
15 93.6432625649
16 98.6515278711
17 100.576590042
18 102.558439298
19 105.656238975
20 109.134632065
21 111.915508869
22 115.071261614
23 118.850384623
24 121.688046596
25 124.919911977
26 127.842227104
27 130.856664706
28 136.078749906
29 141.252455607
30 144.536534172
31 145.721793966
32 148.73175812
33 153.581605126
34 158.739402033
35 162.601709953
36 165.88032974
37 169.861335315
38 174.990098601
39 177.520323597
40 179.927670592
41 183.524268526
42 186.220200066
43 189.011821072
44 193.353856352
45 196.233008255
46 197.296058456
47 199.821328994
48 204.13107299
49 207.632056294
50 211.117158716
51 214.671369257
52 218.89996253
53 222.769064976
54 226.433564873
55 228.711549118
56 232.10903385
57 235.202410561
58 237.927837492
59 240.934619222
60 242.625951514
61 246.899986734
62 249.292428865
63 253.241483698
64 258.225798773
65 262.573077166
66 266.001597866
67 270.228529297
68 272.505408176
69 275.099043882
70 275.631518416
71 278.09176489
72 280.960591982
73 284.487442646
74 288.153239155
75 291.515372997
76 294.010661096
77 299.400704654
78 302.649090541
79 305.551485602
80 308.975870348
81 311.631131864
82 315.623000988
83 318.337730672
84 323.131174959
85 327.491619553
86 332.954976552
87 334.736443124
88 337.965406039
89 341.502322573
90 344.024843603
91 347.471714743
92 351.877452195
93 355.969014824
94 359.483761798
95 363.115412488
96 364.683612219
97 366.110582872
98 369.825000563
99 374.279252823
